Nationality,Residence,Q4,Q5,Q6,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_12,Q19_13,Q19_14,Q19_15,Q19_16,Q19_17,Q19_18,Q19_19,Q19_20,Q19_21,Q19_22,Q19_23,Q19_24,Q19_25,Q19_26,Q19_27,Q19_28,Q19_29,Q19_30,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,Q26_1,Q27_1,Q28_1,Q29_1,Q30_1,Q31_1,Lextale,Wellbeing,Selfcontrol,Emotionality,Sociability,TEIQue,TVReactionsEN,TVReactionsTR,SocialMediaEN,SocialMediaTR
TR,TR,2,31,6,1,3,1,1,9,3,3,6,6,6,6,6,6,6,6,6,7,5,5,7,7,4,4,4,4,7,4,4,6,7,5,4,1,3,6,2,7,3,6,7,5,3,7,4,4,4,6,6,5,4,1,4,5,6,6,4,6,3,3,5,6,6,6,65,5,4.16667,4.5,4.33333,4.56667,17,20,11,12
TR,TR,2,21,5,4,7,2,1,9,6,6,6,6,6,6,6,6,6,6,5,7,4,7,4,7,7,4,3,4,7,5,3,5,4,4,5,3,4,4,3,4,4,4,4,4,4,5,3,4,4,4,4,4,2,4,2,7,6,7,6,5,6,7,4,7,6,7,65,4.33333,3.83333,4.375,4.33333,4.1,20,26,10,14
TR,TR,1,31,5,1,3,1,1,2,6,6,6,6,6,6,6,6,6,6,7,7,3,3,4,5,7,5,5,6,7,6,5,6,6,6,5,2,4,6,6,6,5,6,6,6,5,4,3,5,5,5,5,4,5,5,3,3,3,3,3,5,4,3,4,4,2,5,66.25,5.16667,5.33333,5,5.33333,5.23333,13,14,6,9
TR,TR,3,40,6,2,2,1,1,2,6,6,6,6,6,3,6,6,6,9,3,7,3,7,2,6,7,4,4,6,4,5,5,7,6,7,5,5,5,6,4,6,6,4,7,5,6,3,4,3,7,5,5,5,6,6,1,1,5,6,6,6,6,2,5,3,6,6,66.25,4.66667,5.16667,5.5,5.83333,5.26667,18,15,11,9
TR,TR,2,38,5,1,4,2,1,9,3,6,6,6,6,6,6,6,6,6,6,7,4,4,3,7,7,6,5,5,6,5,3,6,6,7,6,6,1,5,5,6,6,3,4,6,6,1,6,6,1,7,7,3,2,1,3,6,4,4,6,6,7,4,4,4,4,6,67.5,6.16667,3.16667,5.125,5.33333,4.8,20,20,8,10
TR,TR,1,33,6,1,2,1,1,9,6,6,6,6,6,6,6,6,9,6,7,7,6,6,7,7,6,7,6,4,7,6,4,7,6,7,6,2,7,7,6,7,6,7,6,6,6,7,1,6,7,7,6,2,6,6,4,4,4,4,5,5,5,1,5,5,5,5,67.5,5.5,5.5,5.375,6.5,5.8,18,14,10,10
TR,TR,1,24,5,1,4,2,1,9,6,3,6,6,6,6,6,6,6,6,5,7,2,7,2,7,5,2,6,3,6,7,2,2,5,2,6,7,4,2,6,4,6,6,6,6,6,4,5,5,6,4,5,3,5,5,2,7,3,7,2,7,4,4,3,7,3,7,67.5,5.66667,4.33333,3.875,5.16667,4.7,11,25,6,14
TR,TR,2,26,5,4,7,1,1,9,6,6,6,6,3,6,6,6,6,6,5,7,5,1,4,3,7,7,7,7,7,7,4,7,6,7,6,5,3,5,7,7,6,7,6,6,6,2,6,6,2,7,6,7,6,5,4,3,4,5,4,5,3,2,4,3,5,3,67.5,6,5.16667,6.25,5.83333,5.9,15,15,9,6
TR,TR,1,21,4,4,7,2,1,9,6,3,6,6,6,6,6,6,6,6,5,6,5,2,4,6,7,6,6,3,6,7,3,6,6,5,6,3,7,6,5,6,6,6,7,7,7,4,4,6,5,7,7,7,7,6,4,4,6,3,6,3,1,1,5,4,6,6,67.5,5.83333,4.66667,6.125,6.16667,5.8,17,11,11,10
TR,TR,1,27,5,1,3,2,1,9,6,6,6,6,6,6,2,6,2,6,7,7,7,7,7,7,5,1,4,7,6,4,1,4,7,1,4,5,5,7,7,2,2,4,7,7,4,1,6,7,1,3,7,3,7,3,1,7,5,6,4,6,7,3,1,6,5,7,68.75,6.5,4.33333,3.5,2.83333,4.4,17,22,6,13
